id,Jelly White,Jelly Milk,Jelly Black,Amandina,Crème brulée,Triangolo,Tentation noir,Comtesse,Noblesse,Noir authentique,Passion au lait,Arabia,Stracciatella
1000756,2,0,0,0,0,1,0,0,1,0,0,0,2
1000763,2,3,3,0,0,0,0,0,0,0,0,0,0
1000765,0,0,0,0,0,3,0,0,0,0,2,0,0
1000768,0,0,0,0,0,0,0,1,1,0,0,0,2
1000772,3,2,1,0,0,0,0,0,0,0,0,0,0
1000779,0,0,1,1,1,0,0,0,0,0,0,2,1
1000780,1,1,1,1,1,1,1,1,1,1,1,1,1
1000785,1,0,0,1,0,0,0,0,0,1,0,0,2
1000788,2,2,3,0,0,0,0,0,0,0,0,0,0
1000791,0,0,0,0,0,2,0,0,1,0,0,1,1
1000792,0,0,0,0,0,0,0,0,2,3,0,0,0
1000793,0,0,0,1,1,0,1,0,0,0,1,1,1
1000797,0,0,0,0,2,0,0,0,2,2,0,0,0
1000799,0,2,2,0,0,0,0,0,2,0,0,2,0
1000802,0,0,0,0,0,0,0,2,0,0,2,0,0
1000804,0,0,0,0,1,2,0,0,0,2,0,0,0
1000808,3,3,3,0,0,0,0,0,0,0,0,0,0
1000810,1,0,2,1,0,1,0,0,0,0,0,2,0
1000812,0,0,0,2,0,0,2,3,0,0,0,0,0
1000815,1,0,1,1,0,1,0,0,1,1,0,0,0
1000817,0,0,0,0,2,0,0,1,0,0,0,2,0
1000826,1,1,1,1,1,1,1,1,1,1,1,1,1
1000827,0,0,0,0,2,0,3,0,2,0,0,1,0
1000828,0,0,0,0,0,0,0,2,0,1,1,1,2
1000831,0,0,0,0,0,1,0,2,2,0,0,0,0
1000843,0,0,0,0,0,0,0,0,0,0,3,3,3
1000844,0,0,0,0,0,3,4,0,0,0,0,0,0
1000850,0,0,0,0,0,2,0,0,2,2,0,0,0
1000851,0,0,0,0,1,0,0,0,1,1,0,1,0
1000854,0,0,2,0,0,0,2,0,0,0,2,0,2
1000859,0,0,0,1,2,0,0,1,0,0,1,0,0
1000866,0,2,0,2,0,0,0,0,1,1,1,0,0
1000870,0,0,0,0,0,1,1,1,0,2,0,0,0
1000872,0,0,0,0,2,0,0,0,0,0,1,2,0
1000875,1,1,1,1,0,0,1,1,1,0,0,0,0
1000876,0,0,0,0,0,0,2,1,0,0,1,0,0
1000880,0,0,0,0,0,0,1,1,1,0,2,0,0
1000882,0,0,0,1,0,1,0,0,1,1,0,0,1
1000885,0,0,0,0,0,0,0,0,2,0,0,2,2
1000888,0,0,0,2,2,1,0,0,0,0,0,0,0
1000890,2,2,2,0,0,0,0,0,0,0,0,0,0
1000894,0,0,0,0,0,0,0,1,0,0,2,0,2
1000896,2,0,0,0,0,0,0,2,0,0,2,0,0
1000899,1,1,1,0,0,0,0,1,0,1,0,0,0
1000900,0,0,0,0,0,0,0,0,1,1,1,1,1
1000903,2,0,0,0,2,0,0,0,0,0,0,0,0
1000909,0,0,0,1,0,1,1,3,0,0,0,0,0
1000910,0,2,2,0,0,0,0,0,0,3,0,0,0
1000914,0,0,0,0,0,0,2,0,0,0,2,0,2
1000916,0,0,0,0,1,1,0,2,0,0,0,0,0
1000923,1,1,1,1,1,1,1,1,1,1,1,1,1
1000926,3,0,0,0,0,0,0,5,0,0,0,0,0
1000928,0,0,0,0,0,0,0,0,0,2,0,2,2
1000930,0,3,3,0,4,0,0,0,0,0,0,0,0
1000932,2,0,0,1,0,0,0,0,0,0,0,1,1
1000939,0,2,2,0,0,2,2,0,0,0,0,0,0
1000941,1,0,0,0,0,0,0,1,0,0,1,1,1
1000946,2,0,0,0,1,0,2,0,0,0,0,0,0
1000951,0,1,1,0,0,0,0,0,2,2,2,0,0
1000952,0,0,0,1,1,1,1,0,0,0,0,2,0
1000957,0,0,0,0,0,0,1,1,1,2,2,0,0
1000963,0,0,0,0,1,2,1,0,0,0,0,0,0
1000964,0,1,1,0,0,0,0,0,2,0,0,1,0
1000965,0,0,0,0,0,0,0,0,0,0,3,2,3
1000971,0,0,0,2,2,2,0,0,0,0,0,0,0
1000972,0,0,0,0,0,0,2,2,1,1,0,0,0
1000974,2,2,2,2,0,0,0,0,0,0,0,0,0
1000977,0,0,0,0,0,0,0,3,3,3,0,0,0
1000979,3,0,0,2,2,2,0,0,0,0,0,0,0
1000981,0,1,0,0,0,1,0,1,1,1,0,0,0
1000987,0,0,0,0,2,0,2,0,2,0,0,0,0
1000989,0,0,0,0,0,0,0,0,0,0,3,0,3
1000992,0,0,0,0,0,0,0,0,0,0,0,3,0
1000993,0,0,0,0,0,0,2,0,0,2,1,0,0
1001000,2,0,0,2,0,0,0,2,0,0,0,0,0
1010004,1,1,1,1,1,1,1,1,0,0,0,0,0
1010008,0,0,0,2,2,0,0,2,0,0,0,0,0
1010009,0,0,0,0,0,0,0,2,0,0,2,2,0
1010012,0,0,0,0,0,0,0,0,2,2,2,2,2
1010014,1,1,1,0,0,1,0,2,0,0,0,0,0
1010015,0,1,2,0,0,0,0,1,0,0,0,0,0
1010019,0,0,0,0,0,0,0,0,0,2,2,2,2
1010022,0,0,0,0,0,0,0,0,0,0,2,2,2
1010026,0,0,0,0,0,3,3,0,0,0,2,2,2
1010029,0,0,0,0,2,0,0,2,0,2,0,0,0
1010031,0,0,0,0,0,0,2,0,2,0,2,2,0
1010032,0,0,0,0,0,2,2,2,0,0,0,0,0
1010035,0,0,0,0,0,3,0,0,3,2,0,0,0
1010041,0,0,0,2,0,0,2,0,0,0,0,0,3
1010045,1,1,1,1,1,1,1,1,0,0,0,0,0
